(1.0, 1.0)
(0.0, 0.5)
(0.0, 0.3333333333333333)
(1, 0.5)
(1, 0.6)
(0.0, 0.5)
(0.0, 0.42857142857142855)
(0.0, 0.375)
(0, 0.3333333333333333)
(0.0, 0.3)
(0.0, 0.2727272727272727)
(1.0, 0.3333333333333333)
(0.0, 0.3076923076923077)
(0.0, 0.2857142857142857)
(0.0, 0.26666666666666666)
(1, 0.3125)
(0.0, 0.29411764705882354)
(1, 0.3333333333333333)
(1, 0.3684210526315789)
(1, 0.4)
(0.0, 0.38095238095238093)
(0.0, 0.36363636363636365)
(0.0, 0.34782608695652173)
(0.0, 0.3333333333333333)
(0.0, 0.32)
(1, 0.34615384615384615)
(0.0, 0.3333333333333333)
(1, 0.35714285714285715)
(1.0, 0.3793103448275862)
(0.0, 0.36666666666666664)
(0.0, 0.3548387096774194)
(0.0, 0.34375)
(1, 0.36363636363636365)
(1.0, 0.38235294117647056)
(0.0, 0.37142857142857144)
(1, 0.3888888888888889)
(1, 0.40540540540540543)
(1, 0.42105263157894735)
(0.0, 0.41025641025641024)
(0.0, 0.4)
(1, 0.4146341463414634)
(0.0, 0.40476190476190477)
(1, 0.4186046511627907)
(1.0, 0.4318181818181818)
(1, 0.4444444444444444)
(1, 0.45652173913043476)
(1, 0.46808510638297873)
(0.0, 0.4583333333333333)
(0.0, 0.4489795918367347)
(1.0, 0.46)
(1, 0.47058823529411764)
(0.0, 0.46153846153846156)
(0.0, 0.4528301886792453)
(0.0, 0.4444444444444444)
(0.0, 0.43636363636363634)
(1, 0.44642857142857145)
(0.0, 0.43859649122807015)
(0.0, 0.43103448275862066)
(0.0, 0.423728813559322)
(1, 0.43333333333333335)
(1, 0.4426229508196721)
(1, 0.45161290322580644)
(1.0, 0.4603174603174603)
(0.0, 0.453125)
(0.0, 0.4461538461538462)
(0.0, 0.4393939393939394)
(1, 0.44776119402985076)
(1, 0.45588235294117646)
(1, 0.463768115942029)
(1, 0.4714285714285714)
(0.0, 0.4647887323943662)
(0.0, 0.4583333333333333)
(1, 0.4657534246575342)
(1, 0.47297297297297297)
(1.0, 0.48)
(1, 0.4868421052631579)
(1.0, 0.4935064935064935)
(0.0, 0.48717948717948717)
(0.0, 0.4810126582278481)
(1.0, 0.4875)
(0.0, 0.48148148148148145)
(0.0, 0.47560975609756095)
(0, 0.46987951807228917)
(1, 0.47619047619047616)
(1, 0.4823529411764706)
(0.0, 0.47674418604651164)
(0.0, 0.47126436781609193)
(0.0, 0.4659090909090909)
(0.0, 0.4606741573033708)
(1, 0.4666666666666667)
(0.0, 0.46153846153846156)
(0.0, 0.45652173913043476)
(0.0, 0.45161290322580644)
(0.0, 0.44680851063829785)
(1, 0.45263157894736844)
(0.0, 0.4479166666666667)
(1.0, 0.4536082474226804)
(0.0, 0.4489795918367347)
(0.0, 0.4444444444444444)
(1, 0.45)
(0.0, 0.44)
(0.0, 0.44)
(0.0, 0.44)
(0.0, 0.43)
(0.0, 0.42)
(0.0, 0.42)
(0.0, 0.42)
(1, 0.43)
(0.0, 0.43)
(0.0, 0.43)
(0.0, 0.43)
(0.0, 0.42)
(1.0, 0.43)
(0.0, 0.43)
(0.0, 0.43)
(0.0, 0.42)
(0.0, 0.42)
(0.0, 0.41)
(0.0, 0.4)
(1.0, 0.4)
(1, 0.41)
(0.0, 0.41)
(0.0, 0.41)
(0.0, 0.41)
(0.0, 0.41)
(0.0, 0.4)
(0.0, 0.4)
(0.0, 0.39)
(1, 0.39)
(1, 0.4)
(0.0, 0.4)
(0.0, 0.4)
(1, 0.4)
(1, 0.4)
(1, 0.41)
(0.0, 0.4)
(0.0, 0.39)
(0.0, 0.38)
(0.0, 0.38)
(1, 0.39)
(0.0, 0.38)
(0.0, 0.38)
(1.0, 0.38)
(0.0, 0.37)
(0.0, 0.36)
(0.0, 0.35)
(0.0, 0.34)
(1.0, 0.35)
(1, 0.36)
(1.0, 0.36)
(1, 0.36)
(0.0, 0.36)
(1, 0.37)
(1.0, 0.38)
(0.0, 0.38)
(0.0, 0.37)
(0.0, 0.37)
(1, 0.38)
(0.0, 0.38)
(1, 0.38)
(0.0, 0.37)
(0.0, 0.36)
(0.0, 0.35)
(0.0, 0.35)
(1, 0.36)
(1, 0.37)
(0.0, 0.36)
(1, 0.36)
(0.0, 0.35)
(0.0, 0.34)
(1, 0.35)
(0.0, 0.35)
(0.0, 0.34)
(1, 0.34)
(0.0, 0.33)
(1, 0.33)
(0.0, 0.32)
(0.0, 0.32)
(0.0, 0.32)
(0.0, 0.31)
(1.0, 0.32)
(0.0, 0.32)
(0.0, 0.32)
(1, 0.32)
(0.0, 0.31)
(1, 0.32)
(0.0, 0.32)
(0.0, 0.32)
(1.0, 0.33)
(1, 0.33)
(1, 0.34)
(0.0, 0.34)
(1, 0.35)
(0.0, 0.35)
(0.0, 0.34)
(0.0, 0.34)
(0.0, 0.33)
(1, 0.34)
(1, 0.35)
(1, 0.35)
(0.0, 0.35)
(0.0, 0.35)
(1, 0.36)
(0.0, 0.36)
(1, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.36)
(0.0, 0.36)
(0.0, 0.36)
(1, 0.37)
(1, 0.38)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.37)
(0.0, 0.36)
(1, 0.36)
(0.0, 0.36)
(0.0, 0.36)
(0.0, 0.36)
(1.0, 0.37)
(1.0, 0.38)
(0.0, 0.38)
(0.0, 0.38)
(0, 0.37)
(0.0, 0.36)
(0.0, 0.36)
(0.0, 0.36)
(0.0, 0.35)
(0.0, 0.34)
(0.0, 0.33)
(0.0, 0.33)
(0.0, 0.33)
(0.0, 0.33)
(0, 0.33)
(1, 0.33)
(0, 0.33)
(0.0, 0.33)
(0, 0.32)
(1, 0.33)
(0.0, 0.33)
(0.0, 0.33)
(1.0, 0.34)
(1, 0.34)
(1.0, 0.34)
(0.0, 0.33)
(1, 0.33)
(0.0, 0.33)
(0.0, 0.32)
(0.0, 0.31)
(0.0, 0.31)
(0.0, 0.31)
(0.0, 0.31)
(1.0, 0.31)
(0, 0.31)
(0.0, 0.3)
(0.0, 0.3)
(0.0, 0.3)
(0.0, 0.3)
(0.0, 0.3)
(1.0, 0.3)
(1, 0.3)
