(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(0, 0.0)
(1, 0.041666666666666664)
(1, 0.08)
(0.0, 0.07692307692307693)
(0.0, 0.07407407407407407)
(0.0, 0.07142857142857142)
(0.0, 0.06896551724137931)
(0.0, 0.06666666666666667)
(0.0, 0.06451612903225806)
(0.0, 0.0625)
(1.0, 0.09090909090909091)
(1, 0.11764705882352941)
(1, 0.14285714285714285)
(1, 0.16666666666666666)
(1, 0.1891891891891892)
(1, 0.21052631578947367)
(1, 0.23076923076923078)
(0.0, 0.225)
(1, 0.24390243902439024)
(0.0, 0.23809523809523808)
(0.0, 0.23255813953488372)
(0.0, 0.22727272727272727)
(0.0, 0.2222222222222222)
(0.0, 0.21739130434782608)
(1, 0.23404255319148937)
(0.0, 0.22916666666666666)
(0.0, 0.22448979591836735)
(1, 0.24)
(1, 0.2549019607843137)
(1.0, 0.2692307692307692)
(1, 0.2830188679245283)
(0, 0.2777777777777778)
(0.0, 0.2727272727272727)
(0.0, 0.26785714285714285)
(1, 0.2807017543859649)
(1, 0.29310344827586204)
(0.0, 0.288135593220339)
(0.0, 0.2833333333333333)
(1, 0.29508196721311475)
(1, 0.3064516129032258)
(0.0, 0.30158730158730157)
(0.0, 0.296875)
(1, 0.3076923076923077)
(1, 0.3181818181818182)
(0.0, 0.31343283582089554)
(1, 0.3235294117647059)
(0.0, 0.3188405797101449)
(0.0, 0.3142857142857143)
(0.0, 0.30985915492957744)
(0.0, 0.3055555555555556)
(1.0, 0.3150684931506849)
(1, 0.32432432432432434)
(1.0, 0.3333333333333333)
(0.0, 0.32894736842105265)
(0.0, 0.3246753246753247)
(1, 0.3333333333333333)
(1, 0.34177215189873417)
(0, 0.3375)
(1.0, 0.345679012345679)
(1.0, 0.35365853658536583)
(1.0, 0.3614457831325301)
(0.0, 0.35714285714285715)
(1, 0.36470588235294116)
(0.0, 0.36046511627906974)
(1.0, 0.367816091954023)
(0.0, 0.36363636363636365)
(0.0, 0.3595505617977528)
(0.0, 0.35555555555555557)
